,precision,recall,f1-score,support
High,0.9333333333333333,0.4827586206896552,0.6363636363636364,87.0
Low,0.9166666666666666,0.5365853658536586,0.676923076923077,123.0
Medium,0.721763085399449,0.9703703703703703,0.8278041074249605,270.0
accuracy,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334
macro avg,0.8572543617998164,0.6632381189712281,0.7136969402372246,480.0
weighted avg,0.81005423553719,0.7708333333333334,0.7544422579789879,480.0
