Feature,Importance
Price,0.1584348603281549
Rating,0.12664516568474216
NumberOfReviews,0.118266786907943
DiscountPercentage,0.11222364992949817
StockQuantity,0.10819357458802388
WarrantyMonths,0.03943112207395661
Category_Smartphone,0.015071589603542768
Brand_Apple,0.014432881154833052
Brand_Samsung,0.013102687391400747
Category_Headphones,0.011516097432847185
Category_Laptop,0.011197686457655516
Category_TV,0.010924396265054946
Category_Smartwatch,0.010789653197217492
Category_Tablet,0.01025148085931092
Brand_Sony,0.01010159091276867
Category_Monitor,0.010032305201922567
Brand_Microsoft,0.009985964778559212
Category_Accessory,0.009562364444793168
Brand_Lenovo,0.008927171637009642
Category_Gaming Console,0.008426859638032842
Category_Camera,0.008386328275530753
Brand_Google,0.008317744479267041
Brand_Dell,0.007960953245223824
Brand_Logitech,0.0074820490377070495
Brand_Bose,0.006903372101064001
Brand_OnePlus,0.006722960192287995
Brand_Asus,0.006649246806609705
Brand_Motorola,0.006634393791452023
Brand_Xiaomi,0.006313532351650788
Brand_Huawei,0.00629091024424937
Brand_LG,0.006283975211517004
Brand_Meta,0.0058685182820476245
Brand_Acer,0.005749973569908802
Brand_Canon,0.005161987534934006
Brand_JBL,0.00508221406065677
Brand_Fujifilm,0.004881095733917676
Brand_Fitbit,0.004476347034790291
Brand_Amazfit,0.004435456979794547
Brand_Philips,0.004421489232373703
Brand_Sennheiser,0.004384624039321919
Brand_TCL,0.004380528093792036
Brand_BenQ,0.004297812571926999
Brand_MSI,0.004257771938133359
Brand_Belkin,0.0042046089458693155
Brand_HP,0.0041620221707216595
Brand_Nikon,0.004097487677659855
Brand_Garmin,0.00401102035778203
Brand_Razer,0.0038423737674591883
Brand_Valve,0.0036327818834184294
Brand_Panasonic,0.0035305252579577256
Brand_Nintendo,0.0035158821069418743
Brand_AOC,0.0034803434862291653
Brand_Corsair,0.003362384716255533
Brand_Hisense,0.003130512049196579
Brand_Anker,0.003129300578436776
Brand_GoPro,0.0030395837066471408
