mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.224259090423584,0.13318554129888088,0.2580662727355957,0.07003024764914123,,log2,1,10,100,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.5193460646074461,0.5037030043332164,0.4847298602590097,0.5231958426920914,0.5276464815733385,0.5117242506930204,0.015724149672487323,1,0.9559505399262141,0.9482423893962887,0.9519261009564878,0.9532741043430929,0.9552489631638905,0.9529284195571947,0.0027423038990186514
1.7501070976257325,0.11404799626149223,0.3112082004547119,0.029046569080860965,,log2,1,10,200,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.515074615252019,0.5091350742495265,0.48280984009487193,0.5339811815992807,0.4979223588342441,0.5077846140059885,0.017101060924342767,2,0.957893846204905,0.9552350229780927,0.96230889940088,0.9682577108957412,0.9630056164038833,0.9613402191767004,0.004488083962410654
1.3208469867706298,0.1754036951317424,0.42274913787841795,0.11676830162636165,,sqrt,1,10,100,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.5165462277356417,0.5050694214732595,0.47395792287642363,0.5214671920735194,0.5194051165282662,0.5072891761374221,0.017603436632934545,3,0.9727343277088029,0.9630465665530384,0.9694871033689529,0.9688968168228174,0.9694665910464528,0.9687262811000128,0.003145777701231013
1.6368581771850585,0.16471498162111006,0.5073812961578369,0.15782678801528782,,sqrt,1,10,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.5132902857418661,0.5058093102353682,0.4585968324627569,0.5279056753941195,0.518042611246467,0.5047289430161156,0.024153882057230416,4,0.9792168316219039,0.9663172202615428,0.9746696845773114,0.9798796563613573,0.9792275653462724,0.9758621916336775,0.005123434865176651
0.8586139678955078,0.1747123346485454,0.31017699241638186,0.0948316353069951,10,sqrt,1,2,100,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.479973123832898,0.5042840419303488,0.46577407864849724,0.5198536622327619,0.5444688386548852,0.5028707490598782,0.028004578165634002,5,0.9225594055337131,0.9158094322500355,0.9080003368451052,0.9060944649922614,0.9363884502705316,0.9177704179783295,0.011001757648197226
1.9789720535278321,0.13263501581386347,0.2988592147827148,0.021256130372557126,,log2,5,2,200,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.5294120910643395,0.4699053200233369,0.4530428124037796,0.4958490856928357,0.5199717038551648,0.4936362026078912,0.02894597653853185,6,0.7845023751602462,0.7786291968980809,0.7785001098089969,0.7792191464944995,0.787278711513224,0.7816259079750095,0.0035992122356620177
1.8072731494903564,0.12176069522434337,0.13188819885253905,0.007072482741684598,,log2,5,10,200,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.5294120910643395,0.4699053200233369,0.4530428124037796,0.4958490856928357,0.5199717038551648,0.4936362026078912,0.02894597653853185,6,0.7845023751602462,0.7786291968980809,0.7785001098089969,0.7792191464944995,0.787278711513224,0.7816259079750095,0.0035992122356620177
1.536727237701416,0.13043770549173722,0.4191608905792236,0.08926028872271606,10,sqrt,1,2,200,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.4759131570726183,0.4834044349245536,0.44504779163741,0.5321046508204511,0.5220512302442529,0.49170425293985714,0.03177483988776671,8,0.9234453040534073,0.9234569227448896,0.9247230920975684,0.9128964512693244,0.9312967692223082,0.9231637078774997,0.0059018674266215305
1.6788689613342285,0.12420823483940763,0.40326452255249023,0.08904630907716991,,sqrt,5,2,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.510826487279302,0.47933163048920013,0.4355528358635084,0.49648272204863203,0.5266716810321461,0.48977307134255776,0.031300577485808126,9,0.8227087349311786,0.8068674838766183,0.8163376145138356,0.8101197859312051,0.8213984129843546,0.8154864064474385,0.006179398793392946
1.687551784515381,0.15883315751310556,0.5951971054077149,0.10405227731039826,,sqrt,5,10,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.510826487279302,0.47933163048920013,0.4355528358635084,0.49648272204863203,0.5266716810321461,0.48977307134255776,0.031300577485808126,9,0.8227087349311786,0.8068674838766183,0.8163376145138356,0.8101197859312051,0.8213984129843546,0.8154864064474385,0.006179398793392946
1.6784464359283446,0.11586873816983215,0.41665191650390626,0.03552998750919862,,sqrt,1,2,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.48797586010283395,0.4779344502408868,0.4670532268147376,0.5168451193961197,0.4904726784860492,0.4880562670081255,0.016602544404719408,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.108757734298706,0.07286050237831637,0.326505184173584,0.08331500018949924,,sqrt,1,2,100,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.4907980536553585,0.4796044522754241,0.46802392628227246,0.5257457097681527,0.4556124287537686,0.4839569141469953,0.02395545244025869,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.1926623344421388,0.0658774732697863,0.20010790824890137,0.04673523234142465,,log2,5,10,100,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.5214910964311981,0.45735948447392066,0.44335821776091827,0.47406509989089174,0.5198175367520094,0.4832182870617876,0.03207988979484893,13,0.7704807707343813,0.7536744788189734,0.7598952251250579,0.7602755854736838,0.7772004409100903,0.7643053002124374,0.008403842174046904
1.0709274291992188,0.1617071554263222,0.231660795211792,0.025254025428223553,,log2,5,2,100,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.5214910964311981,0.45735948447392066,0.44335821776091827,0.47406509989089174,0.5198175367520094,0.4832182870617876,0.03207988979484893,13,0.7704807707343813,0.7536744788189734,0.7598952251250579,0.7602755854736838,0.7772004409100903,0.7643053002124374,0.008403842174046904
