mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__metric,param_classifier__n_neighbors,param_classifier__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.02730703353881836,0.00805744462247275,0.1068842887878418,0.12408407459802666,euclidean,9,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 9, 'classifier__weights': 'distance'}",0.5185562405221863,0.4474448648855253,0.4500524350317168,0.49322778404063183,0.4801367458740778,0.47788361407082763,0.026817437148652375,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.019705820083618163,0.004101600860886586,0.38770198822021484,0.012659318332115886,euclidean,9,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 9, 'classifier__weights': 'uniform'}",0.5061717550691024,0.4540039129760283,0.4545001810746078,0.4745794392255338,0.4756153424761041,0.47297412616427537,0.019040962444775305,2,0.5631069327750569,0.5816136878211844,0.5789375486967968,0.5739952322642096,0.5824305799608994,0.5760167963036295,0.007095687528288984
0.03099684715270996,0.01807688079726122,0.09206566810607911,0.008397807057859802,manhattan,15,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 15, 'classifier__weights': 'uniform'}",0.49578634085213036,0.4609470096193277,0.4369220444588091,0.5047697881828317,0.44997937405293503,0.46968091143320684,0.02626898436629698,3,0.513564736589197,0.5239180571487406,0.5381094495211214,0.501473540960648,0.5223452159582035,0.519882200035582,0.012110956091197563
0.014199304580688476,0.003978867426129661,0.3594799041748047,0.014071679550739978,euclidean,5,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 5, 'classifier__weights': 'uniform'}",0.48032774975251585,0.4380247883034325,0.45296235577030997,0.486383511631856,0.4770440100154083,0.4669484830947045,0.018389326536119813,4,0.636190224877116,0.625970036564809,0.6410139424194298,0.6498291883914932,0.6280714202549321,0.636214962501556,0.008713825274314765
0.033300924301147464,0.019670806880144453,0.047906923294067386,0.019925466623631222,euclidean,15,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 15, 'classifier__weights': 'uniform'}",0.48135336943090207,0.4503100446869588,0.44613429413298605,0.48467981763022827,0.46575996481319515,0.46564749813885403,0.015651957296010204,5,0.5309817543937999,0.531715198546932,0.5449567439920243,0.5284171422214935,0.5397671592974589,0.5351675996903417,0.006196649825170292
0.03067183494567871,0.016506617552714088,0.11359448432922363,0.03416758885196641,manhattan,9,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 9, 'classifier__weights': 'uniform'}",0.47678809812760053,0.45808864642509856,0.4513516754940825,0.4732141849634652,0.46766743938664107,0.46542200887937757,0.009451988547878423,6,0.5769647963295264,0.5654180374449893,0.5846839800816931,0.5703414011135035,0.5769388405704944,0.5748694111080412,0.006554849812075363
0.020104694366455077,0.004816670702810511,0.3727114200592041,0.014363918525087623,euclidean,5,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",0.49149974230691873,0.4490637400793651,0.4257277859470802,0.48163866073297307,0.4770584490740741,0.46499767562808225,0.024169231337611778,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.04753890037536621,0.021298809849898227,0.1324625015258789,0.03386462655669733,manhattan,15,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 15, 'classifier__weights': 'distance'}",0.48538215435345844,0.45024487478288006,0.42507664198076345,0.49917883103309024,0.46229304026777746,0.46443510848359393,0.026080433514215604,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.03070721626281738,0.015742484701628704,0.056154394149780275,0.024367766467982915,euclidean,21,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 21, 'classifier__weights': 'uniform'}",0.47271980161101945,0.46283521045379583,0.438946444467589,0.4799842188601071,0.4676386280695639,0.4644248606924151,0.013949226884632068,9,0.4997430031298756,0.5049385209791426,0.5128451146494278,0.49300163403281205,0.510729637296257,0.504251582017503,0.007254991408289598
0.031195878982543945,0.015914997584692312,0.05261354446411133,0.01758262246976298,euclidean,21,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 21, 'classifier__weights': 'distance'}",0.4854775481395446,0.45543852515783206,0.4444667990330211,0.4607291614601556,0.46289546735898507,0.46180150022990774,0.013445305771824108,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
