mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.07107830047607422,0.021157988338054632,0.019955539703369142,0.014939898830654835,,1,2,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",0.4339636622554072,0.44724727020296146,0.44022057258407826,0.44841008789792336,0.39746743563428777,0.43346180571493165,0.018735088142061793,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.04569878578186035,0.005855132375451213,0.02088956832885742,0.013808804558933118,,1,10,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}",0.4288053441444349,0.40921712666713184,0.4089930675642787,0.43387482329036214,0.3897082467853144,0.4141197216903044,0.015825104572292432,2,0.8203077788003732,0.8075412077985851,0.8092123156795079,0.7966877398177094,0.8019852044810332,0.8071468493154417,0.007920445488781382
0.06868605613708496,0.023776679398967146,0.012983560562133789,0.0034176375157287378,,5,2,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2}",0.40308961903304774,0.4111659958946088,0.4267857819098908,0.45717231345808435,0.3690425781640196,0.41345125769193025,0.028893103149432563,3,0.7184078635296034,0.7263716062864075,0.7394848212546448,0.7341202162032836,0.7365626275741262,0.7309894269696131,0.007650544251478984
0.04340925216674805,0.008931720969335335,0.012368392944335938,0.0022630732791877484,,5,10,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10}",0.40308961903304774,0.4111659958946088,0.4267857819098908,0.45717231345808435,0.3690425781640196,0.41345125769193025,0.028893103149432563,3,0.7184078635296034,0.7263716062864075,0.7394848212546448,0.7341202162032836,0.7365626275741262,0.7309894269696131,0.007650544251478984
0.0424919605255127,0.006041721994186661,0.013798046112060546,0.0007492359350085385,8,1,2,"{'classifier__max_depth': 8, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",0.3762546872141943,0.39645643009438203,0.3732430712420922,0.38258353563490993,0.40399904511843543,0.38650735386080276,0.011843969749870757,5,0.5414781029113865,0.6012350460884487,0.5816312374902649,0.5592517149133809,0.7024996777356035,0.597219155827817,0.05637675126447611
0.07275557518005371,0.03044897502884545,0.01981949806213379,0.015503171494354148,8,1,10,"{'classifier__max_depth': 8, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}",0.3809276906220047,0.38927212891396884,0.3574254969387738,0.3773828976034858,0.40244477069526524,0.38149059695469967,0.014805058142802424,6,0.5124090390708816,0.5667903544217902,0.5612284375175244,0.5350400448187583,0.672252301505838,0.5695440354669585,0.054919309946683065
0.039594078063964845,0.0034960744690461223,0.014493370056152343,0.003489175997276205,8,5,2,"{'classifier__max_depth': 8, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2}",0.36880238266283527,0.36639281910847404,0.35973166301732906,0.38873900152063784,0.40554257542388933,0.37784168834663306,0.01689289348089827,7,0.5137956605388222,0.5550667871813761,0.5433222524577853,0.5279730305073856,0.6573137372999666,0.5594942935970673,0.050856142960663764
0.048587989807128903,0.01982314432777901,0.022044610977172852,0.013815964374288774,8,5,10,"{'classifier__max_depth': 8, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10}",0.36880238266283527,0.36639281910847404,0.35973166301732906,0.38873900152063784,0.40554257542388933,0.37784168834663306,0.01689289348089827,7,0.5137956605388222,0.5550667871813761,0.5433222524577853,0.5279730305073856,0.6573137372999666,0.5594942935970673,0.050856142960663764
0.03447256088256836,0.005872389937693657,0.01700248718261719,0.004429185703730185,5,1,2,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",0.25588706057456057,0.31195247951643745,0.4392998530902148,0.4251600138544028,0.3400830067971512,0.35447648276655336,0.06917586702190383,9,0.3424837866012682,0.4115540507352578,0.5030443266801717,0.5126678447834218,0.4104441203998696,0.4360388258399978,0.06382614231258385
0.050198841094970706,0.016163810872132714,0.034843730926513675,0.04121499173610786,5,1,10,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}",0.25588706057456057,0.3079937791700568,0.4392998530902148,0.4248919627058663,0.3403375587572664,0.3536820428595929,0.06961409823915136,10,0.33964062887970964,0.4088695511647092,0.5009954692513291,0.5103527286668071,0.4078840632139382,0.4335484882352986,0.06408492067842164
0.05099368095397949,0.024519020752919497,0.013999319076538086,0.004770825971747417,5,5,2,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2}",0.26628538834047305,0.30979208999814495,0.4176187133573497,0.43424404608528017,0.33772427280534706,0.35313290211731896,0.06386827072767658,11,0.3612509873206495,0.4078728289261491,0.4958088221864623,0.508343383329923,0.4117030361587391,0.4369958115843846,0.05616866959516308
0.03813886642456055,0.013708076914724412,0.014000701904296874,0.003032509568565397,5,5,10,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10}",0.26628538834047305,0.30979208999814495,0.4176187133573497,0.43424404608528017,0.33772427280534706,0.35313290211731896,0.06386827072767658,11,0.3612509873206495,0.4078728289261491,0.4958088221864623,0.508343383329923,0.4117030361587391,0.4369958115843846,0.05616866959516308
0.016837930679321288,0.0033704878275695885,0.008663463592529296,0.0017390591061353094,3,1,2,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",0.20732273384601937,0.2932496329899401,0.35293143564686025,0.22228694827476655,0.394223827785332,0.29400291570858367,0.0723519219194085,13,0.25706863892418363,0.3157977704349719,0.3511378317364617,0.2620781771010544,0.43009804880713415,0.3232360934007612,0.0638306132228147
0.021133565902709962,0.0033364930575513563,0.01648082733154297,0.007529401728894957,3,1,10,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}",0.20732273384601937,0.2932496329899401,0.35293143564686025,0.22228694827476655,0.394223827785332,0.29400291570858367,0.0723519219194085,13,0.25706863892418363,0.3157977704349719,0.3511378317364617,0.2620781771010544,0.43009804880713415,0.3232360934007612,0.0638306132228147
0.019352531433105467,0.0036490918131109034,0.043172693252563475,0.04092570869504179,3,5,2,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2}",0.20732273384601937,0.2932496329899401,0.35293143564686025,0.22228694827476655,0.394223827785332,0.29400291570858367,0.0723519219194085,13,0.25706863892418363,0.3153831979441242,0.3511378317364617,0.2620781771010544,0.43009804880713415,0.32315317890259165,0.06384049007713252
0.040437507629394534,0.023178988189324512,0.02711806297302246,0.024152540379486456,3,5,10,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10}",0.20732273384601937,0.2932496329899401,0.35293143564686025,0.22228694827476655,0.394223827785332,0.29400291570858367,0.0723519219194085,13,0.25706863892418363,0.3153831979441242,0.3511378317364617,0.2620781771010544,0.43009804880713415,0.32315317890259165,0.06384049007713252
