Model,BestParameters,BestCVF1Weighted,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
Random Forest,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.5117242506930204,0.4979166666666667,0.41495649460949147,0.3978724729776033,0.4016882169772769,0.47704196926890147,0.4979166666666667,0.48276642918918306
KNN,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 9, 'classifier__weights': 'distance'}",0.47788361407082763,0.5041666666666667,0.3960642463662308,0.3594368127589322,0.3513404469926209,0.45064088736974844,0.5041666666666667,0.45369186972447845
Decision Tree,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",0.43346180571493165,0.44583333333333336,0.3721153700842688,0.3726152280679895,0.3722067478676864,0.4437043621247048,0.44583333333333336,0.44464713553960916
