Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Rank
"Neural Network (100,)",0.5791666666666667,0.5566329556285079,0.5791666666666667,0.49777788701481607,4.63234559999546,1
Logistic Regression,0.5708333333333333,0.535096145571581,0.5708333333333333,0.49659749669319186,0.9363668999867514,2
SVM,0.5041666666666667,0.4857701291687746,0.5041666666666667,0.49151691788349816,8.289160400046967,3
"Neural Network (128, 64)",0.5479166666666667,0.521104827163901,0.5479166666666667,0.4844290093387297,6.996928199951071,4
Decision Tree,0.5333333333333333,0.4680927044589981,0.5333333333333333,0.47013063390486526,0.8632053000037558,5
"Neural Network (100, 50)",0.54375,0.48652714192282537,0.54375,0.4657920105364368,5.440428999951109,6
Random Forest,0.5354166666666667,0.46134164097293595,0.5354166666666667,0.45416034434593383,9.209025799995288,7
"Neural Network (50,)",0.5583333333333333,0.49775051847662144,0.5583333333333333,0.433654206321905,3.9736789999878965,8
KNN,0.425,0.41883208079496653,0.425,0.421024024024024,5.225586700020358,9
