mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activation,param_model__alpha,param_model__batch_size,param_model__hidden_layer_sizes,param_model__learning_rate_init,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.03798985481262207,0.0029735565185546875,0.0065457820892333984,0.0005674362182617188,relu,0.001,64,"(50,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__batch_size': 64, 'model__hidden_layer_sizes': (50,), 'model__learning_rate_init': 0.01}",0.44829229517894115,0.4119995399125834,0.43014591754576226,0.018146377633178862,15
0.06060314178466797,0.0026710033416748047,0.007904767990112305,0.000667572021484375,tanh,0.001,32,"(50,)",0.01,"{'model__activation': 'tanh', 'model__alpha': 0.001, 'model__batch_size': 32, 'model__hidden_layer_sizes': (50,), 'model__learning_rate_init': 0.01}",0.4310622061142195,0.4263990056822792,0.42873060589824935,0.0023316002159701754,17
0.0926283597946167,0.013293147087097168,0.01026308536529541,0.00026023387908935547,tanh,0.0001,32,"(50,)",0.01,"{'model__activation': 'tanh', 'model__alpha': 0.0001, 'model__batch_size': 32, 'model__hidden_layer_sizes': (50,), 'model__learning_rate_init': 0.01}",0.42665482240450103,0.4263990056822792,0.4265269140433901,0.00012790836111092885,18
0.09318041801452637,0.013775348663330078,0.007163882255554199,0.0016309022903442383,relu,0.0001,64,"(100, 50)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__batch_size': 64, 'model__hidden_layer_sizes': (100, 50), 'model__learning_rate_init': 0.001}",0.4357251544165912,0.4170528572890661,0.4263890058528287,0.009336148563762553,19
0.08566641807556152,0.027028322219848633,0.007769465446472168,0.0010071992874145508,relu,0.001,64,"(100, 50)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__batch_size': 64, 'model__hidden_layer_sizes': (100, 50), 'model__learning_rate_init': 0.001}",0.4311225252647666,0.4170528572890661,0.42408769127691637,0.007034833987850236,20
0.05537843704223633,0.00055694580078125,0.005959630012512207,0.00013267993927001953,relu,0.0001,64,"(50,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__batch_size': 64, 'model__hidden_layer_sizes': (50,), 'model__learning_rate_init': 0.001}",0.4298045788009107,0.41664856798274996,0.42322657339183034,0.0065780054090803786,21
0.0728527307510376,0.016480565071105957,0.006116509437561035,0.00012385845184326172,relu,0.001,64,"(50,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__batch_size': 64, 'model__hidden_layer_sizes': (50,), 'model__learning_rate_init': 0.001}",0.4298045788009107,0.41664856798274996,0.42322657339183034,0.0065780054090803786,21
0.06330323219299316,0.0007164478302001953,0.005334258079528809,0.00026977062225341797,relu,0.001,32,"(50,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__batch_size': 32, 'model__hidden_layer_sizes': (50,), 'model__learning_rate_init': 0.001}",0.42523064626627083,0.4210681000254269,0.4231493731458489,0.0020812731204219725,23
0.06719696521759033,0.002200007438659668,0.005246758460998535,0.0006040334701538086,relu,0.0001,32,"(50,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__batch_size': 32, 'model__hidden_layer_sizes': (50,), 'model__learning_rate_init': 0.001}",0.42523064626627083,0.41967108099661565,0.42245086363144324,0.002779782634827588,24
0.05027878284454346,0.0024765729904174805,0.009385228157043457,0.00034677982330322266,tanh,0.001,64,"(50,)",0.01,"{'model__activation': 'tanh', 'model__alpha': 0.001, 'model__batch_size': 64, 'model__hidden_layer_sizes': (50,), 'model__learning_rate_init': 0.01}",0.4267258063217666,0.41603564674319393,0.42138072653248027,0.005345079789286333,25
0.03967297077178955,0.0013083219528198242,0.0084686279296875,0.002289295196533203,tanh,0.0001,64,"(50,)",0.01,"{'model__activation': 'tanh', 'model__alpha': 0.0001, 'model__batch_size': 64, 'model__hidden_layer_sizes': (50,), 'model__learning_rate_init': 0.01}",0.42538912226948844,0.41603564674319393,0.4207123845063412,0.004676737763147254,26
0.09989094734191895,0.011126041412353516,0.005380034446716309,0.0032993555068969727,relu,0.0001,32,"(100, 50)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__batch_size': 32, 'model__hidden_layer_sizes': (100, 50), 'model__learning_rate_init': 0.001}",0.4057765830346476,0.4212114337568058,0.4134940083957267,0.007717425361079111,27
0.0925750732421875,0.01241159439086914,0.006351113319396973,0.00036203861236572266,relu,0.001,32,"(100, 50)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__batch_size': 32, 'model__hidden_layer_sizes': (100, 50), 'model__learning_rate_init': 0.001}",0.4057765830346476,0.41843984699540426,0.4121082150150259,0.006331631980378338,28
0.044103264808654785,0.0005871057510375977,0.0023474693298339844,0.0023474693298339844,relu,0.001,32,"(50,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__batch_size': 32, 'model__hidden_layer_sizes': (50,), 'model__learning_rate_init': 0.01}",0.41060096153846154,0.4131535752564692,0.41187726839746536,0.0012763068590038174,29
0.05115616321563721,0.0012625455856323242,0.0034635066986083984,0.002185821533203125,relu,0.0001,32,"(50,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__batch_size': 32, 'model__hidden_layer_sizes': (50,), 'model__learning_rate_init': 0.01}",0.41060096153846154,0.4131535752564692,0.41187726839746536,0.0012763068590038174,29
0.09433114528656006,0.010350346565246582,0.008497118949890137,9.381771087646484e-05,tanh,0.001,64,"(100, 50)",0.001,"{'model__activation': 'tanh', 'model__alpha': 0.001, 'model__batch_size': 64, 'model__hidden_layer_sizes': (100, 50), 'model__learning_rate_init': 0.001}",0.40993497817760755,0.40040304994843084,0.4051690140630192,0.00476596411458835,31
0.07050979137420654,0.00344693660736084,0.006089925765991211,0.001646280288696289,tanh,0.0001,64,"(100, 50)",0.001,"{'model__activation': 'tanh', 'model__alpha': 0.0001, 'model__batch_size': 64, 'model__hidden_layer_sizes': (100, 50), 'model__learning_rate_init': 0.001}",0.40460696762998866,0.40040304994843084,0.40250500878920975,0.002101958840778906,32
