,precision,recall,f1-score,support
High,0.25274725274725274,0.26436781609195403,0.25842696629213485,87.0
Low,0.28695652173913044,0.2682926829268293,0.2773109243697479,123.0
Medium,0.5766423357664233,0.5851851851851851,0.5808823529411765,270.0
accuracy,0.44583333333333336,0.44583333333333336,0.44583333333333336,0.44583333333333336
macro avg,0.3721153700842688,0.3726152280679895,0.3722067478676864,480.0
weighted avg,0.4437043621247048,0.44583333333333336,0.44464713553960916,480.0
