Feature,Importance
Price,0.21337947851287864
DiscountPercentage,0.14631921221939415
NumberOfReviews,0.14053434246171873
StockQuantity,0.13036355505767205
Rating,0.11671087521359456
WarrantyMonths,0.03976259132766251
Brand_Apple,0.014610768906854038
Category_Smartphone,0.01344257899683734
Category_Smartwatch,0.011755133678554384
Brand_Motorola,0.009713088452783151
Category_Headphones,0.008739731943200185
Brand_Xiaomi,0.008501932199147735
Category_TV,0.00743884773817601
Category_Laptop,0.00732683829686908
Category_Camera,0.006106615074444321
Brand_Sony,0.005901776893764079
Category_Monitor,0.005682638827927826
Brand_JBL,0.005617039948188832
Category_Tablet,0.005513025448079102
Brand_Samsung,0.004892775540969151
Brand_Meta,0.004821520450374234
Brand_Valve,0.004578386232657016
Brand_Lenovo,0.004547087387733688
Category_Gaming Console,0.004334129435212374
Brand_Dell,0.004205097300905365
Brand_HP,0.004177379475352347
Brand_BenQ,0.004109366901194004
Brand_Acer,0.004099891719940792
Brand_Nintendo,0.0038726477162862004
Category_Accessory,0.003772165996302067
Brand_Corsair,0.003695954465527609
Brand_Logitech,0.0034344131693168135
Brand_LG,0.003411389715123055
Brand_Nikon,0.003407757650784436
Brand_Bose,0.00335824534994473
Brand_Amazfit,0.0032655104911734024
Brand_Fitbit,0.003118736713995393
Brand_Huawei,0.002754425150116777
Brand_Google,0.0024067055094969796
Brand_Philips,0.0023829223235420573
Brand_GoPro,0.0023503580200824473
Brand_Fujifilm,0.0023033711623611465
Brand_Razer,0.001942458918759412
Brand_OnePlus,0.001872359258495403
Brand_Sennheiser,0.0017953863214319403
Brand_Asus,0.001724063074512187
Brand_Canon,0.0016728925772215009
Brand_Anker,0.0016371738676082559
Brand_AOC,0.001580255521818496
Brand_Microsoft,0.0015332256700054203
Brand_Garmin,0.001476715167148277
Brand_MSI,0.0013011435164220885
Brand_TCL,0.0008619451228271836
Brand_Hisense,0.0008499065102838744
Brand_Panasonic,0.0008375029550399581
Brand_Belkin,0.0001946624422871553
