FeatureSet,NumberOfFeatures,SelectedFeatures,CVF1WeightedMean,CVF1WeightedStd,Accuracy,PrecisionWeighted,RecallWeighted,F1Weighted,PrecisionMacro,RecallMacro,F1Macro
Random Forest Importance,15,"Price, Rating, NumberOfReviews, DiscountPercentage, StockQuantity, WarrantyMonths, Brand_Apple, Category_Smartphone, Brand_Samsung, Category_Laptop, Category_Headphones, Category_Smartwatch, Category_Tablet, Category_TV, Brand_Sony",0.5077687484683406,0.014530306117293631,0.5145833333333333,0.4913554139304895,0.5145833333333333,0.49749428991397954,0.43473399424471443,0.41406410615830297,0.4187853476960967
All Features,56,"Price, Rating, NumberOfReviews, StockQuantity, DiscountPercentage, WarrantyMonths, Category_Accessory, Category_Camera, Category_Gaming Console, Category_Headphones, Category_Laptop, Category_Monitor, Category_Smartphone, Category_Smartwatch, Category_TV, Category_Tablet, Brand_AOC, Brand_Acer, Brand_Amazfit, Brand_Anker, Brand_Apple, Brand_Asus, Brand_Belkin, Brand_BenQ, Brand_Bose, Brand_Canon, Brand_Corsair, Brand_Dell, Brand_Fitbit, Brand_Fujifilm, Brand_Garmin, Brand_GoPro, Brand_Google, Brand_HP, Brand_Hisense, Brand_Huawei, Brand_JBL, Brand_LG, Brand_Lenovo, Brand_Logitech, Brand_MSI, Brand_Meta, Brand_Microsoft, Brand_Motorola, Brand_Nikon, Brand_Nintendo, Brand_OnePlus, Brand_Panasonic, Brand_Philips, Brand_Razer, Brand_Samsung, Brand_Sennheiser, Brand_Sony, Brand_TCL, Brand_Valve, Brand_Xiaomi",0.5073250969273496,0.016645721172903603,0.49583333333333335,0.47418745605297086,0.49583333333333335,0.4802813868844827,0.41530984283240224,0.39775929560061885,0.40175729403991883
Correlation Analysis,15,"Rating, Brand_Google, DiscountPercentage, Brand_Microsoft, Brand_Meta, Category_TV, Category_Smartphone, Price, NumberOfReviews, Brand_Apple, Brand_Samsung, Brand_Canon, Category_Tablet, Brand_BenQ, Brand_Corsair",0.4908782550001353,0.019405365372836044,0.48125,0.4680457837665709,0.48125,0.4722529786531405,0.41249876731408613,0.3998587878599092,0.40378988492724616
SelectKBest,15,"Rating, Price, DiscountPercentage, Brand_Microsoft, Brand_Google, NumberOfReviews, Brand_Bose, Brand_Meta, Brand_Canon, Category_Smartphone, Brand_Apple, Category_TV, Brand_Amazfit, Brand_Fitbit, Brand_Samsung",0.4870042360527368,0.020769721233344817,0.47708333333333336,0.4606011358889648,0.47708333333333336,0.46648156213704994,0.3965231892863472,0.3866481844895078,0.38927603561749907
